[12:37:06] [ASTRO_SIGNAL] [NIFTY] [NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'insufficient_rows_remaining', 'remaining_count': 1, 'timestamp': '2026-09-10T12:37:06.550349+05:30'}
[12:37:42] [ASTRO_SIGNAL] [NIFTY] [NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'insufficient_rows_remaining', 'remaining_count': 1, 'timestamp': '2026-09-10T12:37:42.529709+05:30'}
[12:38:07] [ASTRO_SIGNAL] [NIFTY] [NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'insufficient_rows_remaining', 'remaining_count': 1, 'timestamp': '2026-09-10T12:38:07.097948+05:30'}
[12:48:55] [ASTRO_SIGNAL] [NIFTY] [NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'insufficient_rows_remaining', 'remaining_count': 1, 'timestamp': '2026-09-10T12:48:55.717692+05:30'}
[13:41:38] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:41:38.966817+05:30'}
[13:41:39] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:41:39.059603+05:30'}
[13:41:42] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:41:42.842870+05:30'}
[13:41:43] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:41:43.685818+05:30'}
[13:41:47] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:41:47.566930+05:30'}
[13:41:48] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:41:48.668980+05:30'}
[13:41:52] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:41:52.186819+05:30'}
[13:41:53] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:41:53.808358+05:30'}
[13:41:56] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:41:56.500744+05:30'}
[13:41:58] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:41:58.670435+05:30'}
[13:42:00] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:00.928707+05:30'}
